50
69;20;1;2
43;39;2;1
81;51;2;1
27;68;1;2
27;46;1;2
47;14;2;1
52;46;1;2
95;16;1;2
100;76;2;1
91;47;2;1
56;47;2;1
46;98;1;2
14;6;2;1
58;61;2;1
29;9;2;1
95;48;2;1
81;9;1;2
42;55;2;1
35;26;1;2
14;51;2;1
65;16;1;2
88;18;2;1
64;5;1;2
79;85;2;1
60;100;1;2
84;78;2;1
23;7;2;1
41;56;2;1
85;90;2;1
20;46;2;1
36;96;2;1
26;67;2;1
35;84;2;1
71;3;1;2
52;48;2;1
33;85;1;2
31;94;1;2
64;18;2;1
71;11;1;2
29;50;2;1
60;54;2;1
90;1;2;1
54;4;1;2
13;93;2;1
56;54;1;2
38;53;2;1
42;38;1;2
31;72;1;2
44;92;1;2
80;1;2;1
3;7;2;1
16
1;8;69;77
2;7;207;214
3;11;335;346
4;10;447;457
5;18;526;544
6;5;628;633
7;15;735;750
8;13;825;838
9;20;900;920
10;1;972;973
11;15;998;1013
12;12;1105;1117
13;14;1163;1177
14;16;1288;1304
15;4;1336;1340
16;11;1459;1470
